Category,"Sub Category",Title,Description,Breakdown,Value,Percentage
"Attendance and Delivery",Attendance,"Number of participants in contact during report period","Count of all participants attending in report period",,55,
"Attendance and Delivery",Attendance,"Number of 'starter' participants","Count of participants in contact for first time in 12 week period  prior to the end date of report period",,1,1.82%
"Attendance and Delivery",Attendance,"Number of currently 'involved' participants","Count of participants in contact in 12 week period prior to end date of report period and in contact prior to that",,29,52.73%
"Attendance and Delivery",Attendance,"Number of 'not currently attending' participants","Count of participants NOT in contact in 12 week period prior to end date of report period BUT in contact prior to that",,25,45.45%
"Attendance and Delivery",Attendance,"Aggregate attendance at all sessions","Sum of all attendances at sessions in report period",,1106,
"Attendance and Delivery",Attendance,"Aggregate contact hours at all Sessions","Sum of all hours of contact with participants in report period",,2195:00,
"Attendance and Delivery",Attendance,"Average contact hours (per participant)","Aggregate contact hours at all sessions divided by number of participants",,39:54,
"Attendance and Delivery",Delivery,"Number of session groups delivered in report period","Count of session groups with at least one session dated in the report period",,26,
"Attendance and Delivery",Delivery,"Number of sessions delivered in report period","Count of sessions dated in the report period",,193,
"Attendance and Delivery",Delivery,"Number of session hours delivered in report period","Sum of session durations for those sessions dated in the report period",,463:30,
Demographics,"Demographic - Gender",Counts,"Count of number of participants attending in report period grouped by gender",F,17,30.91%
Demographics,"Demographic - Gender",Counts,"Count of number of participants attending in report period grouped by gender",M,38,69.09%
Demographics,"Demographic - Age",Counts,"Count of number of participants attending in report period grouped by age",1,2,3.64%
Demographics,"Demographic - Age",Counts,"Count of number of participants attending in report period grouped by age",12,6,10.91%
Demographics,"Demographic - Age",Counts,"Count of number of participants attending in report period grouped by age",14,1,1.82%
Demographics,"Demographic - Age",Counts,"Count of number of participants attending in report period grouped by age",15,5,9.09%
Demographics,"Demographic - Age",Counts,"Count of number of participants attending in report period grouped by age",16,1,1.82%
Demographics,"Demographic - Age",Counts,"Count of number of participants attending in report period grouped by age",17,1,1.82%
Demographics,"Demographic - Age",Counts,"Count of number of participants attending in report period grouped by age",19,4,7.27%
Demographics,"Demographic - Age",Counts,"Count of number of participants attending in report period grouped by age",20,3,5.45%
Demographics,"Demographic - Age",Counts,"Count of number of participants attending in report period grouped by age",21,1,1.82%
Demographics,"Demographic - Age",Counts,"Count of number of participants attending in report period grouped by age",22,1,1.82%
Demographics,"Demographic - Age",Counts,"Count of number of participants attending in report period grouped by age",24,10,18.18%
Demographics,"Demographic - Age",Counts,"Count of number of participants attending in report period grouped by age",26,4,7.27%
Demographics,"Demographic - Age",Counts,"Count of number of participants attending in report period grouped by age",28,3,5.45%
Demographics,"Demographic - Age",Counts,"Count of number of participants attending in report period grouped by age",29,1,1.82%
Demographics,"Demographic - Age",Counts,"Count of number of participants attending in report period grouped by age",31,4,7.27%
Demographics,"Demographic - Age",Counts,"Count of number of participants attending in report period grouped by age",41,4,7.27%
Demographics,"Demographic - Age",Counts,"Count of number of participants attending in report period grouped by age",88,1,1.82%
Demographics,"Demographic - Age",Counts,"Count of number of participants attending in report period grouped by age","Not Specified",3,5.45%
Demographics,"Demographic - Ethnicity",Counts,"Count of number of participants attending in report period grouped by ethnicity","Asian British",1,1.82%
Demographics,"Demographic - Ethnicity",Counts,"Count of number of participants attending in report period grouped by ethnicity","Asian or Asian British",1,1.82%
Demographics,"Demographic - Ethnicity",Counts,"Count of number of participants attending in report period grouped by ethnicity","Black or Black British",5,9.09%
Demographics,"Demographic - Ethnicity",Counts,"Count of number of participants attending in report period grouped by ethnicity","Chinese or Other",3,5.45%
Demographics,"Demographic - Ethnicity",Counts,"Count of number of participants attending in report period grouped by ethnicity",Mixed,8,14.55%
Demographics,"Demographic - Ethnicity",Counts,"Count of number of participants attending in report period grouped by ethnicity","Preferred Not to Say",10,18.18%
Demographics,"Demographic - Ethnicity",Counts,"Count of number of participants attending in report period grouped by ethnicity","White or White British",21,38.18%
Demographics,"Demographic - Ethnicity",Counts,"Count of number of participants attending in report period grouped by ethnicity","Not Specified",6,10.91%
Demographics,"Demographic - Religion",Counts,"Count of number of participants attending in report period grouped by religion",Buddhist,12,21.82%
